,,,,,,,,,,
"Stock Market Data Used in ""Irrational Exuberance"" Princeton University Press, 2000, 2005, 2015, updated",,,,,,,,,,Cyclically
Robert J. Shiller ,,,,,,,,,,Adjusted
,,,,,,,,,,Price
,,,,  Consumer,,,,,,Earnings
,S&P,,,Price,,Long,,,,Ratio
,Comp.,Dividend,Earnings,Index,Date  ,Interest,Real,Real,Real,P/E10 or
Date,P,D,E,CPI,Fraction,Rate GS10,Price,Dividend,Earnings,CAPE
1881.09,6.25,0.31,0.45,10.18,1881.71,3.65,152.79,7.46,11.06,16.72
1881.1,6.15,0.31,0.45,10.28,1881.79,3.64,148.95,7.51,10.86,16.26
1881.11,6.19,0.32,0.44,10.18,1881.87,3.63,151.32,7.70,10.86,16.48
1881.12,6.01,0.32,0.44,10.18,1881.96,3.63,146.92,7.82,10.76,15.96
1882.01,5.92,0.32,0.44,10.18,1882.04,3.62,144.72,7.82,10.74,15.68
1882.02,5.79,0.32,0.44,10.28,1882.12,3.62,140.23,7.75,10.62,15.15
1882.03,5.78,0.32,0.44,10.28,1882.21,3.62,139.99,7.75,10.60,15.09
1882.04,5.78,0.32,0.44,10.37,1882.29,3.62,138.70,7.68,10.48,14.92
1882.05,5.71,0.32,0.44,10.47,1882.37,3.62,135.78,7.61,10.36,14.57
1882.06,5.68,0.32,0.44,10.56,1882.46,3.62,133.85,7.54,10.25,14.33
1882.07,6.00,0.32,0.43,10.47,1882.54,3.63,142.68,7.61,10.32,15.24
1882.08,6.18,0.32,0.43,10.56,1882.62,3.63,145.63,7.54,10.21,15.53
1882.09,6.24,0.32,0.43,10.28,1882.71,3.63,151.13,7.75,10.47,16.08
1882.1,6.07,0.32,0.43,10.18,1882.79,3.63,148.39,7.82,10.55,15.76
1882.11,5.81,0.32,0.43,10.09,1882.87,3.63,143.37,7.90,10.63,15.19
1882.12,5.84,0.32,0.43,9.99,1882.96,3.63,145.48,7.97,10.71,15.38
1883.01,5.81,0.32,0.43,9.99,1883.04,3.63,144.74,7.99,10.65,15.27
